site,treatment,plot,tree,year,Earlywood_Radius_mm,Earlywood_cumulative_radius_mm,Earlywood_BAI_mmsq,Earlywood_cumulative_BAI,Earlywood_cumularive_BAI_ha_m2,Latewood_radius_mm,Latewood_cumulative_radius,Latewood_BAI,Latewood_cumulative_BAI,Latewood_cumulative_BAI_ha_m2,Totalwood_radius_mm,Totalwood_cumulative_radius_mm,Totalwood_BAI,Totalwood_cumulative_BAI,Totalwood_cumulative_BAI_ha_m2
Elkhorn,control,5,9,1998,0.206,2.233,0.13324904,15.65694746,26303.67173,0.0535,0.427,0.008987465,0.57251306,961.8219408,0.271,2.399,0.23060474,18.07133114,30359.83632
Elkhorn,control,5,9,1999,0.282,2.515,0.24970536,19.8612065,33366.82692,0.077,0.504,0.01861706,0.79761024,1339.985203,0.259,2.658,0.21063434,22.18398696,37269.09809
Elkhorn,control,5,9,2000,0.2055,2.7205,0.132602985,23.23951759,39042.38955,0.053,0.557,0.00882026,0.97418186,1636.625525,0.359,3.017,0.40468634,28.58118746,48016.39493
Elkhorn,control,5,9,2001,0.247,2.9675,0.19156826,27.65101663,46453.70794,0.042,0.599,0.00553896,1.12663514,1892.747035,0.2585,3.2755,0.209821865,33.68874679,56597.09461
Elkhorn,control,5,9,2002,0.1305,3.098,0.053474985,30.13647656,50629.28062,0.0335,0.6325,0.003523865,1.256176625,2110.37673,0.288,3.5635,0.26044416,39.87339127,66987.29733
Elkhorn,control,5,9,2003,0.1295,3.2275,0.052658585,32.70861463,54950.47258,0.044,0.6765,0.00607904,1.437028065,2414.207149,0.1635,3.727,0.083939265,43.61626106,73275.31858
Elkhorn,control,5,9,2004,0.124,3.3515,0.04828064,35.27021407,59253.95964,0.115,0.7915,0.0415265,1.967122865,3304.766413,0.173,3.9,0.09397706,47.7594,80235.792
Elkhorn,control,5,9,2005,0.1785,3.53,0.100047465,39.127226,65733.73968,0.0515,0.843,0.008328065,2.23143786,3748.815605,0.239,4.139,0.17935994,53.79234794,90371.14454
Elkhorn,control,5,9,2006,0.1525,3.6825,0.073024625,42.58093163,71535.96514,0.04,0.883,0.005024,2.44822346,4113.015413,0.23,4.369,0.166106,59.93682554,100693.8669
Elkhorn,control,5,9,2007,0.1505,3.833,0.071121785,46.13253146,77502.65285,0.044,0.927,0.00607904,2.69829306,4533.132341,0.192,4.561,0.11575296,65.32054394,109738.5138
Elkhorn,control,5,9,2008,0.1235,3.9565,0.047892065,49.15322167,82577.41241,0.0445,0.9715,0.006217985,2.963570465,4978.798381,0.1935,4.7545,0.117568665,70.98054859,119247.3216
