Site,Treatment,Year,Plot,Tree,diameter_breast_height_cm,height_cm
Feather Falls,HF,1996,19,3,45.7,1866.9
Feather Falls,HF,2001,19,3,63.2,3106.4
Feather Falls,HF,2006,19,3,71.6,4066.5
Feather Falls,HF,1988,19,16,4.3,127
Feather Falls,HF,1990,19,16,12.4,436.9
Feather Falls,HF,1992,19,16,25.7,878.8
Feather Falls,HF,1994,19,16,31.2,1488.4
Feather Falls,HF,1996,19,16,40.9,2159
Feather Falls,HF,2001,19,16,51.8,2822
Feather Falls,HF,2006,19,16,54.9,4130
Feather Falls,HF,1988,19,20,4.7,91.4
Feather Falls,HF,1990,19,20,11.7,320
Feather Falls,HF,1992,19,20,24.6,746.8
Feather Falls,HF,1994,19,20,26.2,1104.9
Feather Falls,HF,1996,19,20,33.8,1574.8
Feather Falls,HF,2001,19,20,43.4,2542.5
Feather Falls,HF,2006,19,20,46.2,3218.2
Whitmore,HF,1991,1,3,15.7,419.1
Whitmore,HF,1992,1,3,20.2,510.5
Whitmore,HF,1995,1,3,25.7,1046.5
Whitmore,HF,1996,1,3,30.7,1259.8
Whitmore,HF,2001,1,3,47.5,2245.4
Whitmore,HF,2007,1,3,57.4,3441.7
Whitmore,HF,1991,1,6,14,368.3
Whitmore,HF,1992,1,6,20.4,510.5
Whitmore,HF,1995,1,6,21.6,1112.5
Whitmore,HF,1996,1,6,26.2,1379.2
Whitmore,HF,2001,1,6,39.6,2212.3
Whitmore,HF,2007,1,6,47,3134.4
Whitmore,HF,1991,1,7,11.8,287
Whitmore,HF,1992,1,7,15.9,391.2
Whitmore,HF,1995,1,7,18.5,1183.6
Whitmore,HF,1996,1,7,23.1,1013.5
Whitmore,HF,2001,1,7,33,1887.2
Whitmore,HF,2007,1,7,36.6,2578.1
Whitmore,HF,1991,10,1,17.8,386.1
Whitmore,HF,1992,10,1,22.4,538.5
Whitmore,HF,1995,10,1,28.2,1033.8
Whitmore,HF,1996,10,1,30.5,1214.1
Whitmore,HF,2001,10,1,43.4,2039.6
Whitmore,HF,2007,10,1,48.3,2753.4
Whitmore,HF,1991,10,14,12.7,383.5
Whitmore,HF,1992,10,14,18.5,515.6
Whitmore,HF,1995,10,14,26.2,1069.3
Whitmore,HF,1996,10,14,30.7,1282.7
Whitmore,HF,2001,10,14,47.5,2303.8
Whitmore,HF,2007,10,14,55.6,3162.3
Whitmore,HF,1991,10,17,8.6,226.1
Whitmore,HF,1992,10,17,11.2,315
Whitmore,HF,1995,10,17,12.4,660.4
Whitmore,HF,1996,10,17,15.5,779.8
Whitmore,HF,2001,10,17,25.9,1612.9
Whitmore,HF,2007,10,17,28.2,2341.9
Whitmore,HF,1991,19,13,12.6,330.2
Whitmore,HF,1992,19,13,18.5,467.4
Whitmore,HF,1995,19,13,19.1,952.5
Whitmore,HF,1996,19,13,24.1,1145.5
Whitmore,HF,2001,19,13,38.9,2176.8
Whitmore,HF,2007,19,13,47.2,3009.9
Whitmore,HF,1991,19,16,9.6,254
Whitmore,HF,1992,19,16,12.9,348
Whitmore,HF,1995,19,16,13.5,767.1
Whitmore,HF,1996,19,16,19.1,932.2
Whitmore,HF,2001,19,16,32.5,1750.1
Whitmore,HF,2007,19,16,32.5,2514.6
Whitmore,HF,1991,19,18,16.3,421.6
Whitmore,HF,1992,19,18,21,571.5
Whitmore,HF,1995,19,18,27.4,1219.2
Whitmore,HF,1996,19,18,32.8,1447.8
Whitmore,HF,2001,19,18,49.8,2392.7
Whitmore,HF,2007,19,18,60.5,3390.9
